# Fix print output for fix output
10000,1,0
20000,1,0
30000,1,0
40000,1,0
50000,1,0
60000,1,0
70000,1,0
80000,0.995811209795214,8
90000,0.967536875912905,62
100000,0.936644548152606,121
110000,0.909417411821495,173
120000,0.881143077939186,227
130000,0.850774348954485,285
140000,0.823547212623374,337
150000,0.793178483638673,395
160000,0.765951347307562,447
170000,0.736629815874057,503
180000,0.706784685664955,560
190000,0.676939555455852,617
200000,0.644476431368758,679
210000,0.618296492588843,729
220000,0.58845136237974,786
230000,0.55755903461944,845
240000,0.529284700737132,899
250000,0.497345175425636,960
260000,0.468547242767732,1015
270000,0.444985297865808,1060
280000,0.429800933373456,1089
290000,0.421423352963884,1105
300000,0.4167109639835,1114
310000,0.415140167656704,1117
320000,0.414092970105508,1119
330000,0.413569371329912,1120
340000,0.413045772554312,1121
350000,0.413569371329912,1120
